origin,destination,distance_km,flight_time_min,turnaround_min,airport_fee,expected_demand,ticket_price,fuel_cost_per_km,other_cost,active
MAD,CDG,1064,120,35,4200,205,145,6.10,2300,1
CDG,MAD,1064,120,35,4300,198,145,6.10,2300,1
MAD,LHR,1244,135,40,5100,225,155,6.25,2500,1
LHR,MAD,1244,135,40,5200,218,155,6.25,2500,1
MAD,LIS,514,75,30,3000,184,110,5.80,1600,1
LIS,MAD,514,75,30,3100,178,110,5.80,1600,1
CDG,LHR,347,65,40,4900,210,120,5.60,1500,1
LHR,CDG,347,65,40,5000,205,120,5.60,1500,1
CDG,AMS,399,65,35,3600,172,105,5.70,1450,1
AMS,CDG,399,65,35,3650,168,105,5.70,1450,1
CDG,FCO,1101,120,35,4100,190,140,6.05,2200,1
FCO,CDG,1101,120,35,4000,186,140,6.05,2200,1
AMS,BER,594,80,30,2900,155,105,5.85,1600,1
BER,AMS,594,80,30,2950,152,105,5.85,1600,1
AMS,VIE,959,105,35,3300,176,125,5.95,1900,1
VIE,AMS,959,105,35,3350,171,125,5.95,1900,1
BER,VIE,523,75,30,2850,148,105,5.75,1500,1
VIE,BER,523,75,30,2800,146,105,5.75,1500,1
BER,FCO,1181,125,35,3750,183,135,6.05,2150,1
FCO,BER,1181,125,35,3800,180,135,6.05,2150,1
FCO,MAD,1330,140,35,3500,202,150,6.20,2400,1
MAD,FCO,1330,140,35,3550,208,150,6.20,2400,1
LIS,CDG,1470,150,35,3900,177,145,6.30,2500,1
CDG,LIS,1470,150,35,4000,181,145,6.30,2500,1
LIS,LHR,1567,155,40,4700,190,150,6.35,2600,1
LHR,LIS,1567,155,40,4800,193,150,6.35,2600,1
VIE,FCO,780,90,35,3200,164,115,5.90,1750,1
FCO,VIE,780,90,35,3250,160,115,5.90,1750,1
